Train ID,Route,Date and Time,Passenger Count,Number of Coaches,Total Capacity,Seat Occupancy (%),Platform Number,Delay Records (mins),Holiday or Weekend Indicator
TRN-007,Los Angeles - San Francisco,2026-02-03 05:11:06,244,8,480,50.83,12,0,No
TRN-012,New York - Washington DC,2026-02-03 05:27:25,182,6,360,50.56,1,0,No
TRN-019,New York - Washington DC,2026-02-03 05:38:00,278,12,720,38.61,4,0,No
TRN-018,Los Angeles - San Francisco,2026-02-03 05:51:35,142,10,600,23.67,7,0,No
TRN-014,Los Angeles - San Francisco,2026-02-03 06:06:58,226,5,300,75.33,9,0,No
TRN-013,Los Angeles - San Francisco,2026-02-03 06:17:41,152,12,720,21.11,11,0,No
TRN-001,Tokyo - Osaka,2026-02-03 06:46:49,161,14,840,19.17,6,0,No
TRN-014,Los Angeles - San Francisco,2026-02-03 07:20:00,531,9,540,98.33,7,0,No
TRN-018,Los Angeles - San Francisco,2026-02-03 07:43:45,595,13,780,76.28,12,93,No
TRN-002,Tokyo - Osaka,2026-02-03 08:13:40,547,8,480,113.96,3,0,No
TRN-012,London - Paris,2026-02-03 08:33:44,410,6,360,113.89,4,0,No
TRN-010,Sydney - Melbourne,2026-02-03 08:36:28,433,7,420,103.1,11,0,No
TRN-008,Mumbai - Delhi,2026-02-03 09:27:06,441,9,540,81.67,9,0,No
TRN-019,Sydney - Melbourne,2026-02-03 09:27:23,380,7,420,90.48,10,12,No
TRN-015,New York - Washington DC,2026-02-03 09:27:47,491,12,720,68.19,7,0,No
TRN-008,Berlin - Munich,2026-02-03 10:25:41,247,11,660,37.42,9,0,No
TRN-003,New York - Washington DC,2026-02-03 11:06:08,185,10,600,30.83,4,0,No
TRN-017,Chicago - St. Louis,2026-02-03 11:26:12,235,12,720,32.64,4,0,No
TRN-016,Berlin - Munich,2026-02-03 11:28:11,116,5,300,38.67,7,0,No
TRN-011,New York - Washington DC,2026-02-03 11:29:11,194,11,660,29.39,3,0,No
TRN-018,Tokyo - Osaka,2026-02-03 11:38:38,244,13,780,31.28,11,0,No
TRN-013,Chicago - St. Louis,2026-02-03 11:41:47,215,12,720,29.86,7,0,No
TRN-006,Toronto - Montreal,2026-02-03 11:42:42,208,5,300,69.33,10,0,No
TRN-005,Beijing - Shanghai,2026-02-03 12:29:07,288,9,540,53.33,7,0,No
TRN-005,Sydney - Melbourne,2026-02-03 12:46:43,121,11,660,18.33,11,51,No
TRN-014,Toronto - Montreal,2026-02-03 12:52:22,145,5,300,48.33,6,76,No
TRN-019,Berlin - Munich,2026-02-03 13:10:12,116,15,900,12.89,11,0,No
TRN-006,London - Paris,2026-02-03 13:14:41,172,14,840,20.48,5,0,No
TRN-020,Beijing - Shanghai,2026-02-03 13:20:32,138,10,600,23.0,8,0,No
TRN-020,Sydney - Melbourne,2026-02-03 13:47:33,158,6,360,43.89,3,0,No
TRN-011,Beijing - Shanghai,2026-02-03 13:54:29,213,7,420,50.71,6,0,No
TRN-001,Tokyo - Osaka,2026-02-03 14:27:11,252,8,480,52.5,1,0,No
TRN-018,Beijing - Shanghai,2026-02-03 15:05:45,179,12,720,24.86,5,0,No
TRN-019,Chicago - St. Louis,2026-02-03 15:15:51,215,9,540,39.81,6,0,No
TRN-013,New York - Washington DC,2026-02-03 15:19:27,235,6,360,65.28,7,0,No
TRN-020,Mumbai - Delhi,2026-02-03 15:21:13,186,5,300,62.0,10,0,No
TRN-019,Tokyo - Osaka,2026-02-03 15:50:55,300,9,540,55.56,4,0,No
TRN-020,Mumbai - Delhi,2026-02-03 15:54:36,235,7,420,55.95,5,0,No
TRN-015,Mumbai - Delhi,2026-02-03 15:59:16,241,15,900,26.78,4,0,No
TRN-012,Los Angeles - San Francisco,2026-02-03 16:21:35,288,8,480,60.0,12,0,No
TRN-010,London - Paris,2026-02-03 16:32:49,255,5,300,85.0,6,120,No
TRN-008,New York - Washington DC,2026-02-03 16:41:57,125,6,360,34.72,2,0,No
TRN-009,Berlin - Munich,2026-02-03 16:45:22,288,7,420,68.57,3,0,No
TRN-015,Chicago - St. Louis,2026-02-03 16:46:56,209,11,660,31.67,5,0,No
TRN-019,Tokyo - Osaka,2026-02-03 16:59:40,146,13,780,18.72,4,0,No
TRN-015,Chicago - St. Louis,2026-02-03 17:56:19,467,10,600,77.83,9,0,No
TRN-020,London - Paris,2026-02-03 17:57:26,477,8,480,99.38,9,0,No
TRN-006,Beijing - Shanghai,2026-02-03 18:05:03,413,10,600,68.83,5,0,No
TRN-014,Toronto - Montreal,2026-02-03 18:33:48,471,13,780,60.38,8,23,No
TRN-009,New York - Washington DC,2026-02-03 18:40:50,412,14,840,49.05,2,0,No
TRN-002,London - Paris,2026-02-03 19:26:55,513,9,540,95.0,6,0,No
TRN-009,New York - Washington DC,2026-02-03 19:44:47,393,13,780,50.38,6,0,No
TRN-002,Tokyo - Osaka,2026-02-03 19:45:40,517,11,660,78.33,7,0,No
TRN-002,London - Paris,2026-02-03 19:51:18,321,11,660,48.64,8,75,No
TRN-006,Chicago - St. Louis,2026-02-03 19:56:16,385,5,300,128.33,6,0,No
TRN-017,Tokyo - Osaka,2026-02-03 19:57:41,493,7,420,117.38,3,0,No
TRN-015,Beijing - Shanghai,2026-02-03 20:14:17,145,15,900,16.11,8,0,No
TRN-002,New York - Washington DC,2026-02-03 20:17:24,252,10,600,42.0,6,0,No
TRN-011,Toronto - Montreal,2026-02-03 21:00:58,287,6,360,79.72,7,0,No
TRN-013,Berlin - Munich,2026-02-03 21:02:51,238,11,660,36.06,5,0,No
TRN-016,Tokyo - Osaka,2026-02-03 21:17:00,233,8,480,48.54,9,0,No
TRN-006,Chicago - St. Louis,2026-02-03 21:23:21,136,15,900,15.11,10,0,No
TRN-011,London - Paris,2026-02-03 22:01:27,222,8,480,46.25,2,0,No
TRN-018,Tokyo - Osaka,2026-02-03 23:01:09,208,12,720,28.89,9,0,No
TRN-009,Toronto - Montreal,2026-02-03 23:54:09,223,8,480,46.46,5,0,No
TRN-005,New York - Washington DC,2026-02-04 00:27:45,294,6,360,81.67,11,0,No
TRN-005,New York - Washington DC,2026-02-04 01:04:57,165,5,300,55.0,8,0,No
TRN-001,Sydney - Melbourne,2026-02-04 01:08:34,270,12,720,37.5,5,0,No
TRN-012,Beijing - Shanghai,2026-02-04 01:32:41,291,8,480,60.62,9,0,No
TRN-011,New York - Washington DC,2026-02-04 01:47:36,188,15,900,20.89,11,76,No
TRN-020,Los Angeles - San Francisco,2026-02-04 01:52:48,241,5,300,80.33,5,0,No
TRN-015,Tokyo - Osaka,2026-02-04 02:04:48,149,15,900,16.56,4,0,No
TRN-003,Los Angeles - San Francisco,2026-02-04 02:36:20,404,9,540,74.81,5,0,Yes
TRN-016,Sydney - Melbourne,2026-02-04 02:48:49,139,10,600,23.17,11,0,No
TRN-004,Toronto - Montreal,2026-02-04 03:05:51,298,12,720,41.39,6,0,No
TRN-002,Sydney - Melbourne,2026-02-04 03:21:21,206,9,540,38.15,4,0,No
TRN-004,Sydney - Melbourne,2026-02-04 03:22:12,171,5,300,57.0,1,0,No
TRN-016,Toronto - Montreal,2026-02-04 04:21:14,227,5,300,75.67,6,0,No
TRN-005,New York - Washington DC,2026-02-04 05:09:52,166,15,900,18.44,12,37,No
TRN-016,Berlin - Munich,2026-02-04 05:25:06,139,5,300,46.33,10,0,No
TRN-003,Sydney - Melbourne,2026-02-04 05:31:08,129,15,900,14.33,1,0,No
TRN-012,New York - Washington DC,2026-02-04 05:53:08,222,8,480,46.25,9,0,Yes
TRN-006,New York - Washington DC,2026-02-04 05:56:17,269,9,540,49.81,3,0,No
TRN-008,New York - Washington DC,2026-02-04 06:20:40,223,6,360,61.94,2,0,No
TRN-004,London - Paris,2026-02-04 06:37:34,288,12,720,40.0,8,0,No
TRN-002,Berlin - Munich,2026-02-04 07:15:18,428,13,780,54.87,11,0,No
TRN-019,Toronto - Montreal,2026-02-04 07:17:58,466,9,540,86.3,9,0,No
TRN-008,Beijing - Shanghai,2026-02-04 07:20:32,305,15,900,33.89,12,0,No
TRN-006,New York - Washington DC,2026-02-04 07:21:27,347,14,840,41.31,8,0,No
TRN-005,Sydney - Melbourne,2026-02-04 07:25:14,555,15,900,61.67,9,68,No
TRN-003,Los Angeles - San Francisco,2026-02-04 07:59:45,320,12,720,44.44,12,18,No
TRN-018,Chicago - St. Louis,2026-02-04 08:23:33,403,5,300,134.33,10,117,No
TRN-015,Toronto - Montreal,2026-02-04 08:25:53,557,11,660,84.39,3,0,Yes
TRN-015,Sydney - Melbourne,2026-02-04 08:30:00,330,9,540,61.11,7,0,No
TRN-017,Beijing - Shanghai,2026-02-04 09:14:44,543,12,720,75.42,1,0,No
TRN-017,Tokyo - Osaka,2026-02-04 09:17:47,531,10,600,88.5,5,0,No
TRN-009,Berlin - Munich,2026-02-04 09:25:57,586,5,300,195.33,4,0,No
TRN-009,Berlin - Munich,2026-02-04 09:38:04,336,15,900,37.33,4,0,No
TRN-005,Beijing - Shanghai,2026-02-04 09:53:20,366,13,780,46.92,7,0,No
TRN-001,Beijing - Shanghai,2026-02-04 10:01:16,132,10,600,22.0,1,43,No
TRN-011,Beijing - Shanghai,2026-02-04 10:13:52,212,9,540,39.26,1,0,No
TRN-005,Sydney - Melbourne,2026-02-04 10:25:21,186,9,540,34.44,11,0,No
TRN-010,Beijing - Shanghai,2026-02-04 10:29:05,238,6,360,66.11,2,0,No
TRN-007,Tokyo - Osaka,2026-02-04 11:26:34,395,15,900,43.89,6,0,Yes
TRN-003,Toronto - Montreal,2026-02-04 11:52:34,194,6,360,53.89,10,0,No
TRN-005,Beijing - Shanghai,2026-02-04 11:53:00,111,15,900,12.33,11,0,No
TRN-019,Chicago - St. Louis,2026-02-04 11:55:07,214,10,600,35.67,7,0,No
TRN-020,Mumbai - Delhi,2026-02-04 11:56:55,270,14,840,32.14,2,0,No
TRN-017,Tokyo - Osaka,2026-02-04 12:25:39,181,14,840,21.55,10,0,No
TRN-002,Los Angeles - San Francisco,2026-02-04 12:26:47,250,6,360,69.44,11,0,No
TRN-014,Chicago - St. Louis,2026-02-04 14:04:38,264,14,840,31.43,12,0,No
TRN-007,Chicago - St. Louis,2026-02-04 14:10:47,141,10,600,23.5,4,0,No
TRN-005,New York - Washington DC,2026-02-04 15:10:25,471,8,480,98.12,11,38,Yes
TRN-005,Mumbai - Delhi,2026-02-04 15:15:45,153,10,600,25.5,6,0,No
TRN-011,Berlin - Munich,2026-02-04 15:20:34,354,14,840,42.14,6,0,Yes
TRN-011,Toronto - Montreal,2026-02-04 16:14:07,132,11,660,20.0,9,0,No
TRN-020,Berlin - Munich,2026-02-04 16:37:07,158,15,900,17.56,1,0,No
TRN-012,London - Paris,2026-02-04 16:42:21,274,12,720,38.06,2,71,No
TRN-009,London - Paris,2026-02-04 16:42:32,204,11,660,30.91,2,0,No
TRN-019,Chicago - St. Louis,2026-02-04 18:31:07,557,6,360,154.72,4,0,No
TRN-009,New York - Washington DC,2026-02-04 18:43:07,444,11,660,67.27,9,0,No
TRN-008,New York - Washington DC,2026-02-04 19:02:17,397,7,420,94.52,6,0,No
TRN-012,Sydney - Melbourne,2026-02-04 19:10:51,337,6,360,93.61,12,0,No
TRN-015,Los Angeles - San Francisco,2026-02-04 19:43:19,450,14,840,53.57,11,0,No
TRN-005,Tokyo - Osaka,2026-02-04 19:47:44,454,9,540,84.07,3,0,No
TRN-019,Berlin - Munich,2026-02-04 20:05:17,277,8,480,57.71,7,13,No
TRN-017,Toronto - Montreal,2026-02-04 20:23:59,188,8,480,39.17,2,68,No
TRN-012,Chicago - St. Louis,2026-02-04 20:43:56,278,6,360,77.22,7,0,No
TRN-017,Los Angeles - San Francisco,2026-02-04 21:10:15,157,13,780,20.13,4,50,No
TRN-018,Toronto - Montreal,2026-02-04 21:10:35,104,14,840,12.38,9,25,No
TRN-019,Tokyo - Osaka,2026-02-04 21:15:45,247,7,420,58.81,7,0,No
TRN-020,Los Angeles - San Francisco,2026-02-04 21:23:31,150,15,900,16.67,6,29,No
TRN-013,Chicago - St. Louis,2026-02-04 21:46:15,294,13,780,37.69,1,0,No
TRN-001,London - Paris,2026-02-04 22:18:10,259,9,540,47.96,4,0,No
TRN-019,Berlin - Munich,2026-02-04 22:18:58,201,13,780,25.77,11,0,No
TRN-019,Chicago - St. Louis,2026-02-04 22:41:05,257,5,300,85.67,12,0,No
TRN-019,Berlin - Munich,2026-02-04 22:53:09,157,10,600,26.17,2,116,No
TRN-002,Mumbai - Delhi,2026-02-04 23:07:41,283,12,720,39.31,12,50,No
TRN-009,New York - Washington DC,2026-02-04 23:14:28,119,5,300,39.67,8,0,No
TRN-011,Sydney - Melbourne,2026-02-04 23:17:35,283,8,480,58.96,8,0,No
TRN-006,Beijing - Shanghai,2026-02-04 23:49:01,247,7,420,58.81,3,0,No
TRN-002,Toronto - Montreal,2026-02-05 00:47:42,269,5,300,89.67,1,40,No
TRN-003,Chicago - St. Louis,2026-02-05 00:51:20,125,11,660,18.94,5,0,No
TRN-017,London - Paris,2026-02-05 00:59:06,111,7,420,26.43,10,0,No
TRN-008,Chicago - St. Louis,2026-02-05 01:08:27,263,9,540,48.7,5,0,No
TRN-001,Tokyo - Osaka,2026-02-05 03:06:51,256,14,840,30.48,10,0,No
TRN-004,London - Paris,2026-02-05 03:29:26,234,14,840,27.86,10,0,No
TRN-012,Berlin - Munich,2026-02-05 03:31:04,100,15,900,11.11,8,0,No
TRN-011,New York - Washington DC,2026-02-05 03:34:32,255,7,420,60.71,3,58,No
TRN-017,Sydney - Melbourne,2026-02-05 03:34:36,183,12,720,25.42,7,0,No
TRN-020,Beijing - Shanghai,2026-02-05 04:54:25,171,7,420,40.71,6,35,No
TRN-005,Tokyo - Osaka,2026-02-05 04:57:50,285,8,480,59.38,7,0,Yes
TRN-009,Chicago - St. Louis,2026-02-05 04:58:03,252,13,780,32.31,4,0,No
TRN-012,New York - Washington DC,2026-02-05 05:25:48,239,6,360,66.39,6,0,No
TRN-013,Sydney - Melbourne,2026-02-05 05:37:36,112,9,540,20.74,12,0,No
TRN-005,London - Paris,2026-02-05 05:40:00,248,6,360,68.89,9,0,No
TRN-006,Sydney - Melbourne,2026-02-05 05:51:54,225,5,300,75.0,10,0,No
TRN-019,Toronto - Montreal,2026-02-05 05:59:08,300,11,660,45.45,4,0,No
TRN-009,Mumbai - Delhi,2026-02-05 06:02:11,212,6,360,58.89,6,0,No
TRN-001,London - Paris,2026-02-05 06:17:58,287,11,660,43.48,1,0,No
TRN-010,Chicago - St. Louis,2026-02-05 06:53:22,243,8,480,50.62,7,0,No
TRN-017,Sydney - Melbourne,2026-02-05 06:58:51,196,13,780,25.13,10,0,No
TRN-014,London - Paris,2026-02-05 08:21:31,472,9,540,87.41,2,70,No
TRN-008,Berlin - Munich,2026-02-05 08:43:44,460,5,300,153.33,10,0,No
TRN-017,Mumbai - Delhi,2026-02-05 08:52:07,360,7,420,85.71,5,0,No
TRN-004,Mumbai - Delhi,2026-02-05 10:03:29,223,6,360,61.94,6,0,No
TRN-015,Berlin - Munich,2026-02-05 10:35:31,270,15,900,30.0,4,0,No
TRN-007,Mumbai - Delhi,2026-02-05 11:11:45,273,7,420,65.0,8,0,No
TRN-002,London - Paris,2026-02-05 11:17:01,275,12,720,38.19,9,0,No
TRN-020,Beijing - Shanghai,2026-02-05 11:20:30,167,13,780,21.41,5,0,No
TRN-019,Chicago - St. Louis,2026-02-05 11:32:06,306,12,720,42.5,11,0,Yes
TRN-017,New York - Washington DC,2026-02-05 11:45:11,294,5,300,98.0,11,94,No
TRN-014,Sydney - Melbourne,2026-02-05 12:32:39,250,11,660,37.88,11,0,No
TRN-010,Sydney - Melbourne,2026-02-05 12:39:15,248,10,600,41.33,1,0,No
TRN-004,Mumbai - Delhi,2026-02-05 12:43:32,229,13,780,29.36,9,0,Yes
TRN-001,London - Paris,2026-02-05 14:04:29,196,14,840,23.33,3,0,No
TRN-020,Los Angeles - San Francisco,2026-02-05 14:09:12,428,9,540,79.26,5,102,Yes
TRN-013,New York - Washington DC,2026-02-05 15:38:55,221,7,420,52.62,1,0,No
TRN-005,Beijing - Shanghai,2026-02-05 16:10:25,192,13,780,24.62,7,0,No
TRN-007,London - Paris,2026-02-05 16:14:29,150,12,720,20.83,4,0,No
TRN-006,Mumbai - Delhi,2026-02-05 16:51:33,138,5,300,46.0,9,0,No
TRN-020,Berlin - Munich,2026-02-05 16:52:38,241,11,660,36.52,8,101,No
TRN-001,Beijing - Shanghai,2026-02-05 17:31:08,402,15,900,44.67,4,14,No
TRN-005,New York - Washington DC,2026-02-05 17:41:53,439,13,780,56.28,11,0,No
TRN-007,Sydney - Melbourne,2026-02-05 17:49:46,519,7,420,123.57,7,0,No
TRN-002,Chicago - St. Louis,2026-02-05 17:54:33,487,10,600,81.17,7,0,No
TRN-001,Sydney - Melbourne,2026-02-05 18:01:10,434,6,360,120.56,11,112,No
TRN-005,Berlin - Munich,2026-02-05 18:24:31,579,7,420,137.86,12,99,Yes
TRN-005,Tokyo - Osaka,2026-02-05 19:10:41,335,13,780,42.95,8,0,No
TRN-002,Mumbai - Delhi,2026-02-05 20:12:12,195,14,840,23.21,2,0,No
TRN-005,Toronto - Montreal,2026-02-05 20:32:52,212,14,840,25.24,2,0,No
TRN-012,London - Paris,2026-02-05 21:05:05,117,5,300,39.0,5,115,No
TRN-007,Los Angeles - San Francisco,2026-02-05 21:40:01,159,13,780,20.38,1,0,No
TRN-018,Beijing - Shanghai,2026-02-05 21:44:10,201,11,660,30.45,8,0,No
TRN-012,Beijing - Shanghai,2026-02-05 21:50:34,284,14,840,33.81,7,0,No
TRN-017,Los Angeles - San Francisco,2026-02-05 22:31:54,158,6,360,43.89,4,0,No
TRN-011,Toronto - Montreal,2026-02-05 22:56:40,165,14,840,19.64,2,0,No
TRN-004,Toronto - Montreal,2026-02-05 22:58:11,299,7,420,71.19,1,0,No
TRN-002,Los Angeles - San Francisco,2026-02-05 23:06:44,262,11,660,39.7,12,44,No
TRN-011,Mumbai - Delhi,2026-02-05 23:18:21,100,13,780,12.82,4,0,No
TRN-005,Sydney - Melbourne,2026-02-05 23:52:17,252,6,360,70.0,11,0,No
TRN-015,New York - Washington DC,2026-02-05 23:53:14,331,11,660,50.15,10,0,Yes
TRN-015,Toronto - Montreal,2026-02-05 23:54:06,234,8,480,48.75,3,0,No
TRN-019,London - Paris,2026-02-05 23:57:36,238,14,840,28.33,5,0,No
TRN-007,Los Angeles - San Francisco,2026-02-06 00:00:21,156,8,480,32.5,1,0,No
TRN-005,London - Paris,2026-02-06 00:05:59,159,5,300,53.0,11,16,No
TRN-004,Beijing - Shanghai,2026-02-06 00:14:40,211,11,660,31.97,9,0,No
TRN-016,Mumbai - Delhi,2026-02-06 00:21:31,163,8,480,33.96,7,0,No
TRN-002,Sydney - Melbourne,2026-02-06 00:38:03,211,13,780,27.05,8,0,No
TRN-003,London - Paris,2026-02-06 00:50:20,145,11,660,21.97,2,0,No
TRN-004,London - Paris,2026-02-06 01:12:32,102,14,840,12.14,11,0,No
TRN-007,Los Angeles - San Francisco,2026-02-06 01:35:15,257,6,360,71.39,4,0,No
TRN-016,Beijing - Shanghai,2026-02-06 02:33:38,147,10,600,24.5,1,0,No
TRN-018,Chicago - St. Louis,2026-02-06 03:29:36,158,5,300,52.67,7,45,No
TRN-008,Tokyo - Osaka,2026-02-06 03:56:45,289,15,900,32.11,8,0,No
TRN-006,Tokyo - Osaka,2026-02-06 04:52:54,262,6,360,72.78,9,0,No
TRN-002,Toronto - Montreal,2026-02-06 05:01:37,274,6,360,76.11,6,0,No
TRN-013,Beijing - Shanghai,2026-02-06 05:22:50,123,12,720,17.08,3,29,No
TRN-007,Tokyo - Osaka,2026-02-06 05:27:03,311,7,420,74.05,3,56,Yes
TRN-016,Tokyo - Osaka,2026-02-06 05:30:04,162,5,300,54.0,9,0,No
TRN-006,Beijing - Shanghai,2026-02-06 05:44:08,142,8,480,29.58,5,94,No
TRN-017,London - Paris,2026-02-06 06:03:15,233,7,420,55.48,9,0,No
TRN-016,Sydney - Melbourne,2026-02-06 06:05:35,201,14,840,23.93,6,0,No
TRN-017,Tokyo - Osaka,2026-02-06 06:07:25,257,14,840,30.6,5,0,No
TRN-007,Chicago - St. Louis,2026-02-06 06:27:21,204,13,780,26.15,10,0,No
TRN-001,Tokyo - Osaka,2026-02-06 06:43:23,278,10,600,46.33,9,0,No
TRN-002,Tokyo - Osaka,2026-02-06 07:35:06,409,5,300,136.33,11,0,No
TRN-006,Chicago - St. Louis,2026-02-06 07:54:30,386,9,540,71.48,12,0,No
TRN-018,Tokyo - Osaka,2026-02-06 07:55:25,278,7,420,66.19,5,0,No
TRN-004,London - Paris,2026-02-06 08:05:57,397,10,600,66.17,2,66,No
TRN-020,New York - Washington DC,2026-02-06 08:10:57,459,10,600,76.5,5,0,No
TRN-006,Sydney - Melbourne,2026-02-06 08:17:35,536,5,300,178.67,9,21,No
TRN-006,Tokyo - Osaka,2026-02-06 08:33:39,512,13,780,65.64,6,0,No
TRN-005,Mumbai - Delhi,2026-02-06 08:42:36,355,9,540,65.74,5,0,No
TRN-019,New York - Washington DC,2026-02-06 08:45:52,548,15,900,60.89,1,97,No
TRN-014,Chicago - St. Louis,2026-02-06 09:18:34,390,12,720,54.17,10,0,No
TRN-001,Toronto - Montreal,2026-02-06 10:49:59,144,13,780,18.46,8,108,No
TRN-008,Beijing - Shanghai,2026-02-06 10:51:33,344,14,840,40.95,2,0,Yes
TRN-017,London - Paris,2026-02-06 12:07:09,289,7,420,68.81,6,0,No
TRN-004,Tokyo - Osaka,2026-02-06 12:44:40,198,9,540,36.67,10,0,No
TRN-019,Sydney - Melbourne,2026-02-06 13:19:25,254,8,480,52.92,11,102,No
TRN-020,Toronto - Montreal,2026-02-06 13:40:12,319,13,780,40.9,7,28,Yes
TRN-008,Los Angeles - San Francisco,2026-02-06 14:19:27,224,13,780,28.72,12,0,No
TRN-007,London - Paris,2026-02-06 14:46:02,277,15,900,30.78,7,0,No
TRN-012,Los Angeles - San Francisco,2026-02-06 14:47:43,175,13,780,22.44,3,0,No
TRN-001,Chicago - St. Louis,2026-02-06 15:04:20,266,9,540,49.26,11,0,No
TRN-013,London - Paris,2026-02-06 15:07:53,243,10,600,40.5,4,113,No
TRN-009,Berlin - Munich,2026-02-06 15:37:49,193,15,900,21.44,11,0,No
TRN-006,Berlin - Munich,2026-02-06 15:43:22,128,15,900,14.22,3,117,No
TRN-002,Mumbai - Delhi,2026-02-06 16:37:18,102,12,720,14.17,9,71,No
TRN-014,Beijing - Shanghai,2026-02-06 17:02:36,523,11,660,79.24,4,0,No
TRN-010,Chicago - St. Louis,2026-02-06 17:02:54,307,13,780,39.36,4,0,No
TRN-007,Berlin - Munich,2026-02-06 17:27:46,384,13,780,49.23,10,54,No
TRN-005,London - Paris,2026-02-06 17:40:01,521,5,300,173.67,6,0,No
TRN-013,Sydney - Melbourne,2026-02-06 17:47:26,770,8,480,160.42,11,0,Yes
TRN-004,Mumbai - Delhi,2026-02-06 18:06:40,542,8,480,112.92,10,0,No
TRN-004,Mumbai - Delhi,2026-02-06 18:37:49,379,15,900,42.11,9,0,No
TRN-010,Mumbai - Delhi,2026-02-06 18:41:48,474,7,420,112.86,3,0,No
TRN-017,New York - Washington DC,2026-02-06 19:18:11,627,15,900,69.67,1,0,Yes
TRN-017,Sydney - Melbourne,2026-02-06 20:39:43,183,13,780,23.46,11,0,No
TRN-010,Berlin - Munich,2026-02-06 20:57:10,172,10,600,28.67,7,0,No
TRN-008,London - Paris,2026-02-06 21:55:49,506,10,600,84.33,11,0,Yes
TRN-002,London - Paris,2026-02-06 22:05:49,165,9,540,30.56,4,0,No
TRN-012,Chicago - St. Louis,2026-02-06 22:36:21,119,5,300,39.67,2,91,No
TRN-014,Chicago - St. Louis,2026-02-06 22:37:38,150,9,540,27.78,9,0,No
TRN-016,Los Angeles - San Francisco,2026-02-06 22:41:53,183,8,480,38.12,10,0,No
TRN-019,New York - Washington DC,2026-02-06 22:45:02,142,5,300,47.33,2,0,No
